"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 13:25:42 IST 2022","Tue Oct 18 13:25:51 IST 2022","8652","","Launch the application","","Launch the application","Login with valid credentials","Login with valid credentials",""
"passed","Tue Oct 18 11:15:15 IST 2022","Tue Oct 18 11:15:22 IST 2022","6392","","Launch the application","","Launch the application","search the product in home page","search the product in home page",""
"passed","Tue Oct 18 13:25:51 IST 2022","Tue Oct 18 13:25:59 IST 2022","7977","","Launch the application","","Launch the application","logout","logout",""
"skipped","Tue Oct 18 11:15:26 IST 2022","Tue Oct 18 11:15:26 IST 2022","0","","Launch the application","","Launch the application","select the product","select the product",""
"passed","Tue Oct 18 11:15:07 IST 2022","Tue Oct 18 11:15:15 IST 2022","8561","","Launch the application","","Launch the application","providing the url-reg","providing the url-reg",""
"passed","Tue Oct 18 12:11:35 IST 2022","Tue Oct 18 12:11:38 IST 2022","2901","","Launch the application","","Launch the application","logout","logout",""
"passed","Tue Oct 18 12:11:33 IST 2022","Tue Oct 18 12:11:35 IST 2022","2595","","Launch the application","","Launch the application","Login with valid credentials","Login with valid credentials",""
"failed","Tue Oct 18 13:25:30 IST 2022","Tue Oct 18 13:25:42 IST 2022","12267","","Launch the application","","Launch the application","provide the url-Org","provide the url-Org",""
"skipped","Tue Oct 18 11:15:26 IST 2022","Tue Oct 18 11:15:26 IST 2022","0","","Launch the application","","Launch the application","using dynamic wait statements and checking the navigation to another page","using dynamic wait statements and checking the navigation to another page",""
"passed","Tue Oct 18 11:15:22 IST 2022","Tue Oct 18 11:15:26 IST 2022","4235","","Launch the application","","Launch the application","using dynamic wait statements and checking the navigation to another page","using dynamic wait statements and checking the navigation to another page",""
"failed","Tue Oct 18 12:11:22 IST 2022","Tue Oct 18 12:11:33 IST 2022","11097","","Launch the application","","Launch the application","provide the url-Org","provide the url-Org",""
